,Parameter Source Pipeline,Detection Pipeline(s),TIC ID,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated,ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,dstArcSec,qld_a,qld_b,i,M_planet [ME],K_RV [m/s],TSM,ESM,Stellar Insolation [ergs/cm^2/s],Stellar Insolation [Earth Units],Sectors_Observed,Cameras,CCDs,EdgeWarn
0,spoc-s01-s36-b0A-CPKP,SPOC,410153553,136.01,PC,340.4921,-69.169,340.496203768,-69.1721081099,11.877,0.064,1325.7246605991268,0.00015644342,0.4629306872845131,3.872269e-06,0.6310153872601454,0.02220172,4677.673602347287,171.68126,"1,27,28,67,68,94,95,101,102,103,104",LHS 3844 b,5.09707,0.426694,1,0.1886239945888519,0.00571031,1.5171972518975887,0.061799914,723.3720466915099,3043.0,63.0,64.70947716635656,38.885654,False,5,5,5,5,5,5,5,2018-09-05 18:51:57+00:00,2020-10-27 13:01:47.547000+00:00,410153553,340.49215556875,-69.1689780353653,334.357,-726.974,11.9238,STAR,tmgaia2,20190415,,,105-116381,22415815-6910089,,,6385548541499112448,33464847,,tmgaia2,0.0828197,0.0863352,gaia2,67.1548,0.0505991,gaia2,318.253844346058,-43.9075546190118,304.887051401227,-54.1225694496447,16.942,0.041,15.24,0.032,,,,,,,,,,,10.046,0.023,9.477,0.023,9.145,0.023,AAA-222-111-000-0-0,,,,,,,,,,13.3925,0.000738,0.00769846,cdwrf,cdwrf,3004.0,157.0,5.08528,0.0291861,,,0.188624,0.00571031,0.157909,0.0200668,23.5297,0.863072,DWARF,0.0026102874,0.0007083211,14.8846,0.0113,0.0,0.0,81.0,0.0108333239,,,0.009686792,0.0,0.0,,,,,,,,,,,,0.0113,0.0113,bj2018,,,cdwrf,15.4512,0.007263,12.0517,0.002827,1,,cdwrf,apassdr9,cooldwarfs_v8,1.55981222443027,1.33886711484666,340.496203768378,-69.1721081098647,0.0412074490597139,0.0423991433692543,1,0,0.0,0.1933,0.5347,1.5707963267948966,2.9135182144141485,8.24378217427516,328.63192841175487,,88668743.18660827,64.91502472357858,11.0,"3,3,3,2,2,2,2,4,4,3,3","2,1,2,2,1,2,1,3,2,3,2","0,0,0,0,0,0,0,0,0,0,0"
1,spoc-s01-s69-b0A-CP,SPOC/QLP,234994474,134.01,CP,350.0313,-60.0652,350.028591745,-60.0657292357,9.169,0.019,1326.0340324207311,0.0005663934,1.401518260165746,4.8102324e-06,1.1583061366569487,0.32550693,593.7540921561078,42.808456,"1,28,68,95,102,104,105",L 168-9 b,4.67812,0.063226,1,0.5970069766044617,0.01815,1.4616853132727672,1.8385029,891.6389885367025,3794.0,69.0,149.37475428314946,20.450527,False,5,5,5,5,5,5,5,2018-09-05 18:51:57+00:00,2024-09-30 23:32:46.016000+00:00,234994474,350.031352406442,-60.065179038699,-319.961,-127.781,9.22978,STAR,tmgaia2,20190415,115211,9126-00748-1,150-224713,23200751-6003545,,,6491962296196145664,31785853,,tmgaia2,0.102122,0.115073,gaia2,39.7331,0.0375264,gaia2,321.954596395048,-53.560373543901,319.217900881929,-49.5279462377276,12.46,0.025,11.005,0.018,,,,,,,,,,,7.941,0.019,7.32,0.053,7.082,0.031,AAA-111-111-000-0-0,,,,,,,,,,10.2316,0.000839,0.00729665,cdwrf,cdwrf,3746.0,157.0,4.65374,0.011186,,,0.597007,0.01815,0.58564,0.0205272,2.75228,0.15479,DWARF,0.06323022,0.0145138325,25.1496,0.0239,0.0,0.0,57.0,0.0033045,,,0.00876952149,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,11.2811,0.001627,9.25226,0.001116,1,,cdwrf,apassdr9,cooldwarfs_v8,1.82914313698386,1.78463693813483,350.028591745411,-60.0657292356588,0.0531356586659314,0.0598971882728925,1,0,0.0,0.2315,0.3808,1.5707963267948966,2.7348504823892896,2.232538014530762,15.31352007624723,,204682443.0741456,149.84948895325462,7.0,"2,2,2,2,4,3,2","2,1,1,2,3,2,1","0,0,0,0,0,0,0"
2,spoc-s01-s69-b0A-APC,SPOC,206609630,212.01,PC,22.551,-59.5832,22.5500646361,-59.5832452048,12.186,0.04,1325.4903440096757,3.8789487e-05,0.3352715443113456,7.807977e-07,0.718985568482103,0.006818902,19687.82139753575,187.4783,"1,2,28,29,68,69,95,96,104",V-shaped; possible EB; Possible M dwarf; Gaia give this source duplication flag; no radius/parallax available,4.94964,0.399131,1,0.3,0.05,4.4688,0.776006,2623.6739175488947,3332.0,63.0,11198.514930844967,191.81429,False,3,4,3,3,4,4,4,2018-10-22 18:35:11+00:00,2024-09-05 12:41:03.910000+00:00,206609630,22.5500238407526,-59.5832461659004,-116.97,-16.69,12.5595,STAR,gaia2,20190415,,,153-001390,01301224-5934594,,J013012.07-593459.4,4717055692347031296,27156892,,gaia2,2.0,2.0,tic7,,,,293.962485304346,-56.8648869951513,340.574417180185,-60.2773692484149,16.435,0.019,,,,,,,,,,,,,10.577,0.023,9.95,0.024,9.697,0.022,AAA-222-111-000-0-0,,9.515,0.023,9.376,0.02,9.177,0.028,8.959,0.419,13.7244,0.004443,0.0075,gbprp,,,,,,,,,,,,,,,,,,,,,,,SPLIT,,,,,,,,,,,,,,,,,,,,,,15.1821,0.008191,12.357,0.005239,0,,,apassdr9,,0.680635524125704,0.558280499229966,22.5500238407526,-59.5832461659004,0.680635524125704,0.558280499229966,-1,-1,0.0,0.3685,0.5069,,,,,,,,9.0,"3,3,3,3,3,3,3,3,3","1,2,1,2,1,2,1,2,3","0,0,0,0,0,0,0,0,0"
3,spoc-s01-s69-b0A-CP,SPOC,231702397,122.01,CP,332.947,-58.9451,332.948235507,-58.9460850226,13.048,0.04,1329.118988086105,0.0008659716,5.078032534919974,7.6383885e-06,1.2100353070190597,0.27777362,5923.128306850944,429.03534,"1,27,28,67,68,95,102,103,104,105",TOI-122 b,4.9581,0.407256,1,0.3341250121593475,0.0100409,2.6347763362680414,0.68248564,431.2536439836212,3318.0,64.0,8.174313864813788,15.281929,False,5,5,5,5,5,5,5,2018-09-05 18:51:57+00:00,2024-09-09 12:03:05.974000+00:00,231702397,332.947082555841,-58.9450697244304,138.138,-235.81,13.084,STAR,tmgaia2,20190415,,,156-214844,22114728-5856422,,J221147.48-585644.6,6411096106487783296,29684102,,tmgaia2,0.0892065,0.0758235,gaia2,16.0698,0.0555096,gaia2,332.558568011494,-47.968574894624,309.565382662264,-43.8407227095147,17.061,0.054,15.526,0.026,,,,,,,,,,,11.531,0.024,11.02,0.022,10.771,0.021,AAA-222-111-000-0-0,,10.64,0.022,10.455,0.021,10.259,0.068,9.185,,14.3357,0.000442,0.00732643,cdwrf,cdwrf,3356.0,157.0,4.88974,0.00177315,,,0.334125,0.0100409,0.315858,0.0202514,8.46769,0.21984,DWARF,0.0127585251,0.00317175151,62.118,0.2158,0.0,0.0,69.0,0.008770765,,,0.00178776786,0.0,0.0,,,,,,,,,,,,0.2151,0.2165,bj2018,,,cdwrf,15.7971,0.002184,13.1523,0.00132,1,,cdwrf,apassdr9,cooldwarfs_v8,1.58866380607221,1.17598994249211,332.948235506759,-58.9460850225868,0.0367280023852205,0.0413072331986342,1,0,0.0,0.1555,0.4459,1.5707963267948966,7.436722671323773,5.965413076478523,64.65434006229381,,11200911.03616034,8.200267543081274,10.0,"2,2,2,2,2,2,4,3,2,2","1,2,1,2,1,1,1,4,2,4","0,0,0,0,0,0,0,0,0,0"
4,spoc-s01-s36-b0A-CPKP,SPOC,234523599,127.01,CP,15.551099,-61.756001,15.5518892788,-61.7561332924,14.097,0.018,1325.6506028818308,0.00024310609,3.7955177838090473,2.2713773e-06,2.019813484730533,0.031575486,52278.99409788479,560.4189,"1,2,28,29,68,69,95,96,103,104",HATS-71 b,4.438,0.0,1,0.4453719854354858,0.01356,10.32616194771014,0.33078393,525.9431131313694,3424.0,0.0,18.083233597031835,75.709694,False,5,5,5,5,5,5,5,2018-11-14 15:06:55+00:00,2021-12-09 10:32:02.109000+00:00,234523599,15.5511718034752,-61.7560166327465,78.8583,-27.0947,14.1266,STAR,tmgaia2,20190415,,,142-001044,01021226-6145216,,J010212.39-614521.9,4710594412266148352,29743197,,tmgaia2,0.0867943,0.0639011,gaia2,7.10286,0.0433982,gaia2,300.693210225389,-55.3254103196689,332.82853363979,-59.1724728469421,17.217,0.18,16.437,1.133,,,,,,,,,,,12.605,0.026,11.972,0.032,11.727,0.025,AAA-222-111-000-0-0,,11.561,0.022,11.475,0.021,10.751,0.083,8.54,,15.3512,0.000468,0.00733145,cdwrf,cdwrf,3402.0,157.0,4.78564,0.006258,,,0.445372,0.01356,0.44159,0.0205201,4.99862,0.22441,DWARF,0.0239374433,0.00590855675,140.225,0.86,0.0095794,3.256495e-05,40.0,0.0013384053,,,0.000624335837,3.24839e-05,3.2646e-05,schlegel,,,,,,,,,,,0.855,0.865,bj2018,,,cdwrf,16.7435,0.003847,14.1873,0.001329,1,,ucac4,bpbj,cooldwarfs_v8,1.56807697216898,0.990966309064968,15.5518892787513,-61.7561332923544,0.0430914896267718,0.0314523221105076,1,0,0.0,0.1555,0.4459,1.5707963267948966,75.59692473790646,53.44244448421619,146.27373235168892,,24778690.51412682,18.140657570359913,10.0,"3,3,3,3,3,3,3,3,4,3","1,2,1,2,1,2,1,2,2,3","0,0,0,0,0,0,0,0,0,0"
5,spoc-s01-s69-b0A-PC,SPOC,299798795,1224.01,PC,37.1934,-80.8992,37.1978355744,-80.8991052993,11.457,0.044,1327.7050533036406,0.0005623482,4.178265603152973,5.234576e-06,1.6759040161146377,0.14986727,2537.6781601849893,148.4311,"1,13,27,28,39,66,67,68,93,95",variable flaring star; potential multi,4.893,0.382128,1,0.4044030010700226,0.0120014,2.102385378506385,0.30378047,492.7241583276342,3442.0,64.0,13.929528843707748,18.81182,False,2,4,1,1,4,4,4,2019-08-26 21:36:51+00:00,2024-04-24 20:50:50.453000+00:00,299798795,37.1934834298235,-80.8992217499421,159.883,27.0526,11.556,STAR,tmgaia2,20190415,,,046-001384,02284641-8053571,,J022847.15-805356.9,4620009665047355520,35211773,,tmgaia2,0.072027,0.0664648,gaia2,26.7584,0.0427381,gaia2,298.348908313453,-35.345687996181,292.443204001574,-70.7287037269195,15.513,0.085,13.95,0.022,,,,,,,,,,,10.018,0.023,9.405,0.024,9.134,0.019,AAA-222-111-000-0-0,,9.036,0.022,8.89,0.019,8.758,0.023,8.536,0.235,12.7824,0.001348,0.00783084,cdwrf,cdwrf,3392.0,157.0,4.82262,0.00359931,,,0.404403,0.0120014,0.396442,0.020234,5.99427,0.227681,DWARF,0.0195050389,0.00479469774,37.3312,0.06,0.0,0.0,115.0,0.0121618127,,,0.00549587375,0.0,0.0,,,,,,,,,,,,0.0599,0.0601,bj2018,,,cdwrf,14.1953,0.007611,11.6198,0.00322,1,,cdwrf,apassdr9,cooldwarfs_v8,1.46763880028045,1.0307450422969,37.1978355743956,-80.8991052992844,0.0403156969246435,0.0333801803511273,1,0,0.0,0.1555,0.4459,1.5707963267948966,5.069259559913713,3.729449734788482,75.4399580959982,,19087121.426395956,13.973818899054537,10.0,"3,3,3,3,3,3,3,3,3,3","3,4,3,3,4,4,3,3,4,3","0,0,0,0,0,0,0,0,0,0"
6,spoc-s01-s39-b0A-PC,SPOC,394357918,4184.01,PC,43.8266,-79.4154,43.82847492,-79.4147039366,14.37,0.059,1326.7896908368068,0.0011867856,4.9019938399647165,1.396118e-05,1.324380370424446,0.2470788,10774.95120598601,947.59814,"1,13,28,39,66,68,89,93,94,95",small star,5.04654,0.551884,1,0.2408069968223571,0.00741195,2.555414528165164,0.43741205,382.39965407016183,3147.0,99.0,5.053484810377633,11.158407,False,2,4,1,1,4,4,4,2021-07-08 23:19:06.614704+00:00,2022-03-21 16:26:06.348000+00:00,394357918,43.8266220507695,-79.4154175124907,79.0485,165.735,14.2612,STAR,tmgaia2,20190415,,,053-001717,02551841-7924554,,J025518.70-792453.7,4620574887039870720,,,tmgaia2,0.151498,0.109003,gaia2,14.3881,0.0666086,gaia2,296.219142347813,-36.0437170104742,295.785454393687,-72.2635598924125,,,17.12,0.2,,,,,,,,,,,12.617,0.023,12.111,0.026,11.867,0.025,AAA-222-111-000-0-0,,11.685,0.023,11.472,0.02,11.371,0.12,8.93,,15.5939,0.000791,0.00743302,cdwrf,cdwrf,3239.0,157.0,4.99897,0.0149334,,,0.240807,0.00741195,0.210978,0.0201844,15.1088,0.0541602,DWARF,0.00575011736,0.001477516,69.3649,0.3229,0.0,0.0,70.0,0.007885472,,,0.00192225748,0.0,0.0,,,,,,,,,,,,0.3215,0.3243,bj2018,,,cdwrf,17.2304,0.007188,14.3473,0.001816,1,,cdwrf,,cooldwarfs_v8,3.05319071341478,1.69035782441599,43.8284749199985,-79.4147039366445,0.072020427884107,0.0523660090334896,1,0,0.0,0.1533,0.4776,1.5707963267948966,7.060424789900276,7.499525960790069,64.32306607289391,,6924626.702422954,5.06956902099441,10.0,"3,3,3,3,3,3,4,3,3,3","3,4,3,4,4,3,4,4,4,3","0,0,0,0,0,0,0,0,0,0"
7,spoc-s01-s36-b0A-PC,QLP,12421862,198.01,PC,2.2682,-27.1221,2.27150870683,-27.1217452166,9.853,0.04,1356.3672004759967,0.001527935,10.21501679266565,5.243623e-05,1.968306553573122,0.38846454,994.1089045009828,86.780266,"2,29,69,96,107",period updated to half alerted period (~10.2 days) from spoc-s01-s36 multisector,4.83739,0.119367,1,0.4473359882831573,0.0133167,1.4777754128763116,0.58433956,420.93346955177304,3763.0,65.0,7.419503395248895,11.117827,False,2,4,1,1,4,4,4,2018-11-03 01:49:39+00:00,2021-07-15 16:22:36.767000+00:00,12421862,2.26815992112666,-27.1221332878693,692.255,90.1419,9.92801,STAR,tmgaia2,20190415,738,6415-01134-1,315-000209,00090428-2707196,,,2333676738049780352,13156588,,tmgaia2,0.104616,0.0658907,gaia2,42.1185,0.046758,gaia2,30.5490706029941,-80.5763908006274,350.487481889447,-25.6124309634371,13.198,0.019,11.688,0.014,,,,,,,,,,,8.655,0.024,8.143,0.026,7.856,0.021,AAA-111-111-000-0-0,,,,,,,,,,10.9187,0.000655,0.00725829,cdwrf,cdwrf,3782.0,157.0,4.78389,0.00598935,,,0.447336,0.0133167,0.4437,0.0202915,4.95665,0.216084,DWARF,0.0368848927,0.008359475,23.7262,0.02655,0.0,0.0,40.0,0.0113949934,,,0.00728611276,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,11.9333,0.003266,9.94678,0.000737,1,,cdwrf,apassdr9,cooldwarfs_v8,1.66849991210813,1.02178903654651,2.27150870682981,-27.1217452166168,0.0387007343423339,0.0314196747663615,1,0,0.0,0.1828,0.4015,1.5707963267948966,2.7861585988519177,1.41151404277712,9.401172016041706,,10166658.152938852,7.443083567399352,5.0,"1,1,1,1,1","2,2,2,2,4","0,0,0,0,0"
8,qlp-s69-ffi,SPOC/QLP,262530407,177.01,CP,20.4391,-46.7144,20.438428052,-46.7147233938,9.438,0.016,3204.9632806,0.0008831,2.8531016,1.7e-06,1.142,0.173,1395.0,120.577,"2,3,29,69,96,103,104,105,106",GJ 3090 b,4.76229,0.061557,1,0.52,0.02,2.02068,0.114301,610.0,3703.0,66.0,23.0419,28.0,False,5,5,5,5,5,5,5,2018-12-20 17:24:11+00:00,2024-09-30 23:15:31.685000+00:00,262530407,20.439126387292,-46.7143796925629,-111.206,-79.8269,9.49275,STAR,tmgaia2,20190415,6365,8033-01197-1,217-001312,01214538-4642518,,J012145.28-464252.6,4933912198893332224,22136613,,tmgaia2,0.0578318,0.0675376,gaia2,44.4649,0.0512046,gaia2,287.950357449493,-69.5220557062561,353.792042946953,-49.7397699781369,12.89,0.014,11.403,0.026,,,,,,,,,,,8.168,0.021,7.536,0.036,7.294,0.026,AAA-111-111-000-0-0,,7.053,0.038,7.113,0.019,7.045,0.016,6.941,0.082,10.5521,0.000938,0.00742086,cdwrf,cdwrf,3639.0,157.0,4.72187,0.00892084,,,0.517786,0.0155797,0.515356,0.0204259,3.71241,0.188182,DWARF,0.0423568375,0.009907395,22.4751,0.02605,0.0,0.0,44.0,0.0131962439,,,0.009487124,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,11.6924,0.003093,9.52582,0.001828,1,,cdwrf,apassdr9,cooldwarfs_v8,0.976931285374055,1.04734553837086,20.4384280519676,-46.7147233938425,0.0319164642921979,0.032768362630759,1,0,0.0,0.2125,0.3984,1.5707963267948966,4.739334809798854,3.3242379492060645,135.19008938926817,,57872260.20526075,42.36869799910804,9.0,"2,2,2,2,2,4,4,3,2","2,1,2,2,2,3,2,3,1","0,0,0,0,0,0,0,1,0"
9,qlp-s87-ffi,QLP,307210830,175.01,CP,124.5319,-68.313,124.53286045,-68.3144657887,9.393,0.009,3688.7083701796014,0.000380081725349,3.690675857802184,1.008001358872935e-06,1.107,0.081,1657.0,43.4539,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69,87,88,89,90,96,98",L 98-59 c; TOI 175.01,4.9401,0.058929,1,0.31,0.01,1.36751,0.0448017,479.0,3469.0,68.0,8.77401,80.0,False,5,5,5,5,5,5,5,2019-05-07 17:42:41+00:00,2025-07-09 22:18:10.300000+00:00,307210830,124.531756290083,-68.3129998725044,94.7675,-340.47,9.41242,STAR,tmgaia2,20190415,,9193-02365-1,109-016513,08180763-6818468,,,5271055243163629056,32023319,,tmgaia2,0.0536201,0.0520096,gaia2,94.1385,0.0280547,gaia2,281.815501084601,-17.5929289616345,203.32278202704,-76.8138284862677,13.218,0.311,11.685,0.017,,,,,,,,,,,7.933,0.027,7.359,0.049,7.101,0.018,AAA-111-111-000-0-0,,,,,,,,,,10.5976,0.000765,0.00728196,cdwrf,cdwrf,3429.0,157.0,4.91039,0.00414218,,,0.31416,0.00932381,0.292836,0.0201481,9.44434,0.190112,DWARF,0.0122932419,0.00299701,10.6194,0.0032,0.0,0.0,234.0,0.00293248775,,,0.0518007167,0.0,0.0,,,,,,,,,,,,,,bj2018,,,cdwrf,11.9775,0.001628,9.47197,0.000997,1,,cdwrf,tycho2b3,cooldwarfs_v8,1.00467887707346,0.806667579719004,124.532860449919,-68.3144657886679,0.025128304476056,0.0289257053202788,1,0,0.0,0.1555,0.4459,1.5707963267948966,2.4424613067807863,2.2918952432053556,27.469578037408372,,17370688.122251812,12.717205729965219,27.0,"4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4","3,4,1,1,4,3,2,3,3,4,1,4,3,2,2,1,1,4,3,3,3,4,1,1,4,3,4","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,spoc-s01-s69-b0A-PC,SPOC,141527579,698.01,PC,87.7361,-76.6203,87.7390866772,-76.6196103508,12.343,0.311,1328.9418605261624,0.0010995009,15.086773783282108,1.9293491e-05,2.125029129455033,0.3323893,1911.922179575456,83.39961,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96,97,98",L1 candidate,4.83196,0.367048,1,0.4718419909477234,0.014121,2.090585850705125,0.6946929,350.5935542312574,3570.0,64.0,3.570563084066254,23.508717,False,2,4,1,1,4,4,4,2019-04-30 13:04:27+00:00,2024-03-11 11:50:48.093000+00:00,141527579,87.7361339356151,-76.6202898967303,158.696,157.834,12.1293,STAR,tmgaia2,20190415,,,067-004354,05505661-7637132,,J055057.14-763711.3,4647922867959139072,34624062,,tmgaia2,0.0484099,0.0549663,gaia2,15.7507,0.0329107,gaia2,288.01061481578,-29.8240647785222,272.992765185974,-79.9168907279597,15.735,0.074,14.243,0.041,,,,,,,,,,,10.714,0.025,10.105,0.026,9.83,0.023,AAA-222-111-000-0-0,,9.725,0.023,9.634,0.02,9.498,0.032,8.825,0.295,13.273,0.000489,0.00733915,cdwrf,cdwrf,3526.0,157.0,4.76216,0.00716134,,,0.471842,0.014121,0.469549,0.0203577,4.46983,0.207674,DWARF,0.0310039576,0.00741569651,63.3731,0.13315,0.0,0.0,146.0,0.009948331,,,0.006540968,0.0,0.0,,,,,,,,,,,,0.1329,0.1334,bj2018,,,cdwrf,14.5116,0.002492,12.1741,0.001397,1,,cdwrf,apassdr9,cooldwarfs_v8,0.956606768301122,0.852541724616862,87.7390866771814,-76.6196103507976,0.0255322424560883,0.0310076782937798,1,0,0.0,0.1604,0.4325,1.5707963267948966,5.02105037389967,2.1509345147812318,28.408909373799997,,4892634.739269995,3.5819330876804334,44.0,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4","2,2,3,3,3,4,4,4,1,1,1,2,2,2,2,3,3,3,4,4,4,4,1,1,1,4,4,1,1,1,1,2,2,2,4,4,4,1,1,2,2,2,3,3","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
11,spoc-s01-s69-b0A-PC,SPOC,32090583,218.01,PC,58.42027,-68.739532,58.42200087,-68.7386284156,13.551,0.064,1325.5479969455232,0.0020249654,0.4384814340106602,2.8415485e-05,0.5192935491485196,0.29898772,486.47747845177344,188.86397,"1,2,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,66,67,68,69,87,88,90,93,94,95,96,97,98",Bad transit shape; likely SV,4.438,0.0,1,0.2845380008220672,0.0085297,0.6505971759639849,1.154087,900.949155578608,3146.0,0.0,155.71201760677343,21.918074,False,2,4,1,1,4,4,4,2019-06-06 20:53:59+00:00,2024-03-11 12:23:40.232000+00:00,32090583,58.4203493783103,-68.739450510371,139.087,190.94,13.3292,STAR,tmgaia2,20190415,,,107-003370,03534086-6844223,,J035341.14-684420.0,4667466549703138176,,,tmgaia2,0.0751748,0.100521,gaia2,19.0761,0.0495115,gaia2,282.991939914341,-40.6096136224434,335.314242264527,-77.9367192663834,17.003,0.162,16.445,0.172,,,,,,,,,,,11.675,0.024,11.09,0.024,10.826,0.02,AAA-222-111-000-0-0,,10.687,0.025,10.497,0.022,10.344,0.047,8.944,0.305,14.6601,0.001998,0.00826201,cdwrf,cdwrf,3249.0,157.0,4.94322,0.00782136,,,0.284538,0.0085297,0.259077,0.0201625,11.2463,0.134472,DWARF,0.008127821,0.00207024324,52.3428,0.13665,0.0,0.0,59.0,0.155151337,,,0.006163679,0.0,0.0,,,,,,,,,,,,0.1363,0.137,bj2018,,,cdwrf,16.2771,0.011779,13.4143,0.004243,1,,ucac4,bpbj,cooldwarfs_v8,1.41225389326596,1.55898295041618,58.4220008700251,-68.7386284156297,0.0408304070144215,0.0531843584909896,1,0,0.0,0.1533,0.4776,1.5707963267948966,0.20819321549450404,0.4312035022084602,14.1353665939978,,213367383.15887797,156.2077960642135,43.0,"4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4","1,3,2,2,2,3,3,3,4,4,4,1,1,1,1,2,2,2,3,3,3,3,4,4,4,1,3,3,4,4,1,1,4,3,3,3,4,1,1,4,3,2,3","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
